chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart,Sentiment,Emotions
2022-01-15,12,Levitating,Dua Lipa,0,2,61,Positive,"{'fear': 8, 'sadness': 7, 'joy': 33, 'disgust': 7, 'anticipation': 10, 'anger': 7, 'surprise': 7, 'trust': 14}"
2022-01-15,18,Save Your Tears,The Weeknd & Ariana Grande,0,1,53,Negative,"{'anticipation': 2, 'joy': 15, 'trust': 15, 'fear': 4, 'surprise': 1, 'sadness': 18, 'anger': 2, 'disgust': 13}"
2022-01-15,41,Montero (Call Me By Your Name),Lil Nas X,0,1,35,Negative,"{'anger': 5, 'disgust': 5, 'fear': 8, 'sadness': 11, 'surprise': 3, 'anticipation': 7, 'joy': 9, 'trust': 5}"
2022-01-15,49,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),0,1,39,Positive,"{'joy': 20, 'anticipation': 9, 'surprise': 17, 'trust': 10, 'sadness': 13, 'fear': 2}"
2022-01-15,85,Fair Trade,Drake Featuring Travis Scott,0,3,15,Positive,{'trust': 2}
2022-01-22,7,Pushin P,Gunna & Future Featuring Young Thug,0,7,1,Positive,"{'anticipation': 3, 'joy': 3, 'surprise': 3, 'anger': 3, 'disgust': 3, 'fear': 3}"
2022-01-22,9,abcdefu,GAYLE,11,9,8,Positive,"{'anger': 6, 'disgust': 6, 'anticipation': 4, 'joy': 4, 'sadness': 6, 'surprise': 3, 'trust': 2, 'fear': 2}"
2022-01-22,22,Take My Breath,The Weeknd,0,6,17,Positive,"{'fear': 6, 'sadness': 3, 'anger': 1, 'anticipation': 5, 'disgust': 1, 'joy': 5, 'trust': 2, 'surprise': 3}"
2022-01-29,10,Surface Pressure,Jessica Darrow,14,10,4,Negative,"{'anticipation': 10, 'fear': 12, 'sadness': 10, 'joy': 4, 'trust': 6, 'surprise': 5, 'anger': 6, 'disgust': 3}"
2022-02-19,2,Do We Have A Problem?,Nicki Minaj X Lil Baby,0,2,1,Positive,"{'anger': 65, 'sadness': 64, 'anticipation': 61, 'joy': 84, 'surprise': 57, 'trust': 56, 'fear': 74, 'disgust': 57}"
2022-02-19,9,Ghost,Justin Bieber,12,9,20,Positive,"{'anticipation': 7, 'sadness': 2, 'joy': 5, 'fear': 3, 'surprise': 1}"
2022-02-26,40,Lose Yourself,Eminem,0,1,24,Negative,"{'anger': 20, 'fear': 27, 'sadness': 30, 'surprise': 25, 'anticipation': 18, 'disgust': 12, 'joy': 14, 'trust': 9}"
2022-03-26,8,Enemy,Imagine Dragons X JID,12,8,17,Positive,"{'anticipation': 19, 'trust': 8, 'disgust': 6, 'joy': 19, 'surprise': 12, 'anger': 7, 'fear': 8, 'sadness': 6}"
2022-04-02,9,Woman,Doja Cat,12,9,34,Positive,"{'anticipation': 8, 'joy': 11, 'trust': 15, 'fear': 8, 'disgust': 4, 'sadness': 8, 'anger': 3, 'surprise': 1}"
2022-04-09,3,Big Energy,Latto,11,3,23,Negative,"{'trust': 25, 'anger': 32, 'disgust': 28, 'fear': 33, 'sadness': 34, 'anticipation': 15, 'joy': 16, 'surprise': 6}"
2022-04-09,48,Wasted On You,Morgan Wallen,0,9,20,Negative,"{'anger': 20, 'disgust': 17, 'fear': 2, 'sadness': 3, 'anticipation': 6, 'joy': 3, 'surprise': 3, 'trust': 3}"
2022-04-16,1,As It Was,Harry Styles,0,1,1,Positive,"{'anger': 2, 'sadness': 7, 'fear': 3, 'surprise': 3, 'anticipation': 2, 'joy': 2, 'trust': 2}"
2022-04-23,1,First Class,Jack Harlow,0,1,1,Positive,"{'anticipation': 15, 'joy': 10, 'trust': 11, 'surprise': 5, 'anger': 3, 'disgust': 2, 'sadness': 1}"
2022-04-30,7,Don't Think Jesus,Morgan Wallen,0,7,1,Negative,"{'disgust': 12, 'trust': 6, 'anger': 5, 'anticipation': 5, 'fear': 6, 'sadness': 5, 'joy': 4, 'surprise': 1}"
2022-05-14,1,Wait For U,Future Featuring Drake & Tems,0,1,1,Negative,{'anticipation': 2}
2022-05-14,4,Puffin On Zootiez,Future,0,4,1,Negative,"{'anticipation': 13, 'trust': 16, 'sadness': 18, 'anger': 31, 'disgust': 33, 'fear': 20, 'joy': 12, 'surprise': 12}"
2022-05-14,8,712PM,Future,0,8,1,Negative,"{'anger': 32, 'fear': 22, 'sadness': 19, 'anticipation': 26, 'disgust': 14, 'trust': 21, 'joy': 18, 'surprise': 13}"
2022-05-14,10,I'm Dat N***a,Future,0,10,1,Negative,"{'anger': 10, 'disgust': 7, 'fear': 10, 'joy': 4, 'trust': 8, 'sadness': 10, 'anticipation': 7, 'surprise': 3}"
2022-05-21,4,Moscow Mule,Bad Bunny,0,4,1,Negative,"{'anger': 9, 'trust': 3, 'disgust': 5, 'fear': 6, 'sadness': 6, 'joy': 2, 'anticipation': 1}"
2022-05-21,5,Titi Me Pregunto,Bad Bunny,0,5,1,Negative,"{'anger': 11, 'disgust': 10, 'fear': 12, 'sadness': 12, 'trust': 1, 'joy': 1}"
2022-05-21,6,Despues de La Playa,Bad Bunny,0,6,1,Negative,"{'anger': 2, 'fear': 2, 'disgust': 1, 'sadness': 1, 'anticipation': 2}"
2022-05-21,9,About Damn Time,Lizzo,19,9,4,Negative,"{'anger': 14, 'disgust': 15, 'anticipation': 10, 'fear': 8, 'sadness': 12, 'joy': 4}"
2022-05-21,10,Me Porto Bonito,Bad Bunny & Chencho Corleone,0,10,1,Negative,"{'anger': 7, 'disgust': 7, 'fear': 6, 'sadness': 6, 'anticipation': 1, 'trust': 1}"
2022-05-28,3,N95,Kendrick Lamar,0,3,1,Negative,"{'joy': 11, 'trust': 23, 'anger': 24, 'anticipation': 9, 'surprise': 4, 'disgust': 20, 'fear': 21, 'sadness': 14}"
2022-05-28,5,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",0,5,1,Negative,"{'surprise': 15, 'fear': 18, 'sadness': 20, 'anticipation': 23, 'joy': 23, 'trust': 22, 'disgust': 4, 'anger': 4}"
2022-05-28,6,You Proof,Morgan Wallen,0,6,1,Positive,"{'trust': 17, 'anger': 3, 'anticipation': 5, 'joy': 4, 'surprise': 3}"
2022-05-28,7,Silent Hill,Kendrick Lamar & Kodak Black,0,7,1,Positive,"{'anticipation': 10, 'joy': 15, 'surprise': 13, 'sadness': 17, 'anger': 20, 'disgust': 14, 'fear': 16, 'trust': 9}"
2022-05-28,8,United In Grief,Kendrick Lamar,0,8,1,Negative,"{'sadness': 32, 'anticipation': 27, 'joy': 20, 'surprise': 13, 'trust': 24, 'fear': 30, 'anger': 16, 'disgust': 7}"
2022-06-04,4,Late Night Talking,Harry Styles,0,4,1,Positive,"{'fear': 8, 'anticipation': 5, 'surprise': 3, 'anger': 2, 'disgust': 2, 'joy': 6, 'sadness': 6, 'trust': 2}"
2022-06-04,8,Music For A Sushi Restaurant,Harry Styles,0,8,1,Positive,"{'joy': 18, 'trust': 5, 'sadness': 10, 'anticipation': 3, 'surprise': 2, 'fear': 2}"
2022-06-04,9,Matilda,Harry Styles,0,9,1,Positive,"{'anticipation': 11, 'joy': 12, 'surprise': 7, 'trust': 9, 'fear': 4, 'sadness': 2, 'anger': 2}"
2022-06-11,8,Running Up That Hill (A Deal With God),Kate Bush,0,8,21,Positive,"{'anticipation': 14, 'joy': 16, 'surprise': 8, 'trust': 15, 'fear': 15, 'anger': 7, 'sadness': 11, 'disgust': 3}"
2022-06-18,9,I Like You (A Happier Song),Post Malone Featuring Doja Cat,0,9,1,Positive,"{'fear': 6, 'sadness': 5, 'joy': 13, 'trust': 11, 'anger': 6, 'anticipation': 7, 'surprise': 2, 'disgust': 1}"
2022-06-25,10,Glimpse Of Us,Joji,0,10,1,Positive,"{'sadness': 5, 'anticipation': 7, 'joy': 4, 'trust': 3, 'surprise': 1, 'anger': 1, 'disgust': 1, 'fear': 1}"
2022-07-02,1,Jimmy Cooks,Drake Featuring 21 Savage,0,1,1,Negative,"{'anger': 4, 'fear': 4, 'disgust': 1}"
2022-07-02,6,Sticky,Drake,0,6,1,Positive,"{'anger': 2, 'disgust': 12, 'fear': 3, 'sadness': 3, 'trust': 9, 'anticipation': 4, 'joy': 6, 'surprise': 1}"
2022-07-02,7,Falling Back,Drake,0,7,1,Negative,"{'anticipation': 24, 'sadness': 30, 'surprise': 8, 'trust': 8, 'anger': 7, 'disgust': 6, 'fear': 7, 'joy': 7}"
2022-07-09,7,Break My Soul,Beyonce,15,7,2,Positive,"{'anger': 6, 'fear': 3, 'sadness': 6, 'surprise': 29, 'joy': 22, 'disgust': 2, 'anticipation': 10, 'trust': 14}"
2022-08-13,7,Bad Habit,Steve Lacy,11,7,5,Negative,"{'sadness': 10, 'anger': 6, 'disgust': 4, 'fear': 10, 'surprise': 7, 'anticipation': 6, 'joy': 5, 'trust': 3}"
2022-08-13,9,Sunroof,Nicky Youre & dazy,12,9,10,Positive,"{'joy': 6, 'trust': 4, 'anticipation': 9, 'fear': 1, 'sadness': 1, 'surprise': 1}"
2022-08-20,5,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,0,5,1,Positive,"{'anticipation': 1, 'joy': 9, 'trust': 3}"
2022-08-20,10,Bad Decisions,"benny blanco, BTS & Snoop Dogg",0,10,1,Positive,"{'joy': 16, 'anger': 8, 'disgust': 10, 'trust': 3, 'sadness': 7, 'anticipation': 10, 'fear': 7, 'surprise': 2}"
2022-08-27,1,Super Freaky Girl,Nicki Minaj,0,1,1,Positive,"{'disgust': 5, 'anger': 5, 'anticipation': 9, 'joy': 8, 'surprise': 7, 'sadness': 6, 'trust': 5, 'fear': 3}"
2022-09-10,6,Hold Me Closer,Elton John & Britney Spears,0,6,1,Positive,"{'disgust': 10, 'fear': 1, 'trust': 3, 'sadness': 1, 'joy': 5, 'anticipation': 1}"
2022-09-17,8,I Ain't Worried,OneRepublic,14,8,13,Negative,"{'sadness': 18, 'anticipation': 6, 'joy': 4, 'trust': 4, 'fear': 2, 'anger': 1, 'surprise': 1}"
2022-10-01,8,The Kind Of Love We Make,Luke Combs,14,8,14,Positive,"{'joy': 23, 'trust': 12, 'anticipation': 9, 'sadness': 3, 'surprise': 1}"
2022-10-08,3,Unholy,Sam Smith & Kim Petras,0,3,1,Negative,"{'trust': 6, 'anger': 7, 'fear': 10, 'joy': 7, 'surprise': 2, 'disgust': 4, 'anticipation': 1}"
2022-10-08,9,Tomorrow 2,GloRilla & Cardi B,0,9,1,Negative,"{'anger': 24, 'disgust': 17, 'trust': 15, 'anticipation': 32, 'joy': 17, 'surprise': 13, 'fear': 22, 'sadness': 19}"
2022-10-22,10,Vegas,Doja Cat,11,10,19,Negative,"{'anger': 8, 'joy': 4, 'anticipation': 5, 'trust': 4, 'disgust': 5, 'sadness': 5, 'fear': 4, 'surprise': 4}"
2022-10-29,4,California Breeze,Lil Baby,0,4,1,Positive,"{'trust': 10, 'fear': 5, 'anticipation': 7, 'joy': 8, 'sadness': 5, 'surprise': 6, 'anger': 7, 'disgust': 9}"
2022-10-29,8,Forever,Lil Baby Featuring Fridayy,0,8,1,Positive,"{'joy': 8, 'anticipation': 10, 'anger': 9, 'disgust': 10, 'fear': 8, 'sadness': 8, 'surprise': 6, 'trust': 8}"
2022-10-29,10,Real Spill,Lil Baby,0,10,1,Negative,"{'joy': 9, 'trust': 10, 'anticipation': 10, 'anger': 18, 'sadness': 12, 'disgust': 13, 'fear': 14, 'surprise': 7}"
2022-11-05,1,Anti-Hero,Taylor Swift,0,1,1,Negative,"{'sadness': 11, 'anticipation': 10, 'anger': 5, 'disgust': 4, 'fear': 14, 'joy': 8, 'surprise': 5, 'trust': 7}"
2022-11-05,2,Lavender Haze,Taylor Swift,0,2,1,Negative,"{'fear': 14, 'anger': 7, 'disgust': 7, 'anticipation': 7, 'joy': 7, 'surprise': 4, 'trust': 5, 'sadness': 5}"
2022-11-05,3,Maroon,Taylor Swift,0,3,1,Negative,"{'anger': 4, 'sadness': 5, 'anticipation': 3, 'joy': 2, 'trust': 3, 'fear': 3, 'disgust': 3, 'surprise': 2}"
2022-11-05,4,Snow On The Beach,Taylor Swift Featuring Lana Del Rey,0,4,1,Positive,"{'joy': 23, 'anticipation': 2, 'anger': 2, 'disgust': 5, 'fear': 9, 'sadness': 11, 'trust': 5, 'surprise': 1}"
2022-11-05,5,Midnight Rain,Taylor Swift,0,5,1,Positive,"{'fear': 7, 'sadness': 7, 'anticipation': 7, 'joy': 12, 'trust': 7, 'disgust': 1, 'surprise': 2}"
2022-11-05,6,Bejeweled,Taylor Swift,0,6,1,Positive,"{'joy': 13, 'trust': 18, 'anticipation': 11, 'surprise': 4, 'anger': 3, 'disgust': 4, 'fear': 5, 'sadness': 1}"
2022-11-05,7,Question...?,Taylor Swift,0,7,1,Positive,"{'anticipation': 9, 'joy': 9, 'surprise': 7, 'trust': 2, 'disgust': 3, 'anger': 7, 'fear': 6, 'sadness': 4}"
2022-11-05,8,"You're On Your Own, Kid",Taylor Swift,0,8,1,Positive,"{'anticipation': 7, 'joy': 5, 'trust': 4, 'sadness': 4, 'fear': 4, 'surprise': 4, 'anger': 2, 'disgust': 1}"
2022-11-05,9,Karma,Taylor Swift,0,9,1,Positive,"{'anger': 5, 'disgust': 3, 'fear': 11, 'sadness': 3, 'trust': 19, 'anticipation': 19, 'joy': 15, 'surprise': 6}"
2022-11-05,10,Vigilante Shit,Taylor Swift,0,10,1,Negative,"{'anger': 11, 'disgust': 7, 'fear': 8, 'sadness': 4, 'anticipation': 10, 'surprise': 5, 'trust': 4, 'joy': 5}"
2022-11-12,2,Lift Me Up,Rihanna,0,2,1,Positive,"{'joy': 17, 'trust': 13, 'fear': 3, 'sadness': 4, 'anticipation': 2, 'anger': 1}"
2022-11-12,26,Thriller,Michael Jackson,0,4,22,Negative,"{'anger': 16, 'disgust': 11, 'fear': 31, 'sadness': 14, 'surprise': 17, 'anticipation': 24, 'joy': 23, 'trust': 15}"
2022-11-12,47,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",0,1,39,Negative,"{'fear': 33, 'sadness': 4, 'surprise': 7, 'joy': 6, 'anger': 6, 'disgust': 2, 'anticipation': 7, 'trust': 3}"
2022-11-12,49,Ghostbusters,Ray Parker Jr.,0,1,23,Positive,"{'anticipation': 3, 'disgust': 1, 'joy': 3, 'surprise': 2, 'trust': 2, 'fear': 9}"
2022-11-19,2,Rich Flex,Drake & 21 Savage,0,2,1,Negative,"{'anger': 57, 'fear': 39, 'anticipation': 9, 'joy': 10, 'surprise': 22, 'trust': 8, 'disgust': 37, 'sadness': 22}"
2022-11-19,3,Major Distribution,Drake & 21 Savage,0,3,1,Negative,"{'trust': 10, 'joy': 5, 'anger': 20, 'disgust': 11, 'anticipation': 5, 'fear': 13, 'sadness': 10, 'surprise': 6}"
2022-11-19,4,On BS,Drake & 21 Savage,0,4,1,Negative,"{'anger': 20, 'fear': 11, 'anticipation': 8, 'joy': 9, 'surprise': 7, 'trust': 13, 'disgust': 14, 'sadness': 4}"
2022-11-19,5,Spin Bout U,Drake & 21 Savage,0,5,1,Positive,"{'anger': 13, 'fear': 9, 'disgust': 6, 'joy': 18, 'anticipation': 10, 'surprise': 5, 'trust': 15, 'sadness': 6}"
2022-11-19,6,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,0,6,1,Positive,"{'sadness': 9, 'anger': 21, 'fear': 10, 'anticipation': 21, 'joy': 22, 'trust': 19, 'surprise': 12, 'disgust': 4}"
2022-11-19,7,Privileged Rappers,Drake & 21 Savage,0,7,1,Positive,"{'anticipation': 15, 'joy': 19, 'trust': 28, 'anger': 15, 'disgust': 5, 'sadness': 5, 'surprise': 2, 'fear': 9}"
2022-11-19,8,Circo Loco,Drake & 21 Savage,0,8,1,Negative,"{'anger': 22, 'anticipation': 10, 'joy': 5, 'surprise': 4, 'trust': 8, 'disgust': 14, 'fear': 17, 'sadness': 12}"
2022-11-19,9,BackOutsideBoyz,Drake,0,9,1,Negative,"{'sadness': 19, 'anticipation': 13, 'fear': 22, 'anger': 29, 'disgust': 22, 'joy': 14, 'surprise': 9, 'trust': 14}"
2022-11-26,7,I'm Good (Blue),David Guetta & Bebe Rexha,20,7,12,Positive,"{'anticipation': 16, 'joy': 24, 'surprise': 15, 'trust': 15, 'sadness': 1}"
2022-12-17,5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",0,5,1,Positive,"{'fear': 18, 'sadness': 10, 'trust': 13, 'joy': 12, 'anticipation': 8, 'anger': 3, 'disgust': 1}"
2022-12-17,8,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",0,8,1,Negative,"{'anger': 17, 'trust': 13, 'anticipation': 16, 'joy': 11, 'surprise': 7, 'fear': 36, 'sadness': 24, 'disgust': 12}"
2022-12-24,3,Kill Bill,SZA,0,3,1,Positive,"{'anger': 6, 'disgust': 4, 'fear': 10, 'sadness': 11, 'anticipation': 4, 'joy': 12, 'trust': 4}"
2022-12-24,10,Nobody Gets Me,SZA,0,10,1,Negative,"{'anticipation': 4, 'joy': 2, 'anger': 4, 'disgust': 3, 'sadness': 8, 'fear': 6, 'surprise': 2, 'trust': 2}"
2023-01-07,9,The Christmas Song (Merry Christmas To You),Nat King Cole,11,9,38,Positive,"{'joy': 6, 'fear': 1, 'disgust': 1, 'trust': 4, 'anticipation': 2, 'sadness': 1, 'surprise': 1}"
2023-01-14,8,Die For You,The Weeknd,26,8,23,Positive,"{'joy': 18, 'trust': 7, 'anger': 8, 'disgust': 8, 'fear': 26, 'sadness': 27, 'anticipation': 6}"
2023-01-14,10,Cuff It,Beyonce,38,10,21,Positive,"{'joy': 23, 'fear': 11, 'sadness': 15, 'anticipation': 19, 'trust': 16, 'anger': 4, 'disgust': 3, 'surprise': 2}"
2023-01-21,10,Something In The Orange,Zach Bryan,11,10,38,Negative,"{'joy': 4, 'anticipation': 3, 'surprise': 4, 'anger': 8, 'fear': 9, 'sadness': 10, 'disgust': 8, 'trust': 2}"
2023-01-28,1,Flowers,Miley Cyrus,0,1,1,Positive,"{'anticipation': 1, 'joy': 32, 'surprise': 4, 'trust': 2, 'fear': 8, 'sadness': 15, 'anger': 3, 'disgust': 1}"
2023-01-28,9,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,0,9,1,Positive,"{'joy': 3, 'sadness': 2}"
2023-02-04,10,Golden Hour,JVKE,11,10,22,Positive,"{'anticipation': 5, 'joy': 12, 'sadness': 1, 'trust': 3, 'disgust': 2, 'anger': 1, 'fear': 1, 'surprise': 2}"
2023-02-11,10,Just Wanna Rock,Lil Uzi Vert,12,10,16,Negative,"{'fear': 6, 'sadness': 6, 'anger': 9, 'disgust': 5, 'anticipation': 1, 'joy': 1, 'surprise': 1, 'trust': 1}"
2023-02-18,3,Last Night,Morgan Wallen,27,3,2,Positive,"{'anger': 7, 'joy': 17, 'sadness': 4, 'fear': 2, 'disgust': 3, 'surprise': 1, 'trust': 2, 'anticipation': 1}"
2023-02-25,4,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,14,4,2,Negative,"{'disgust': 29, 'anticipation': 22, 'joy': 21, 'surprise': 19, 'trust': 20, 'anger': 6, 'fear': 2, 'sadness': 3}"
2023-02-25,37,Umbrella,Rihanna Featuring Jay-Z,0,1,34,Positive,"{'anticipation': 9, 'joy': 17, 'surprise': 4, 'trust': 14, 'anger': 1, 'disgust': 1, 'fear': 2, 'sadness': 3}"
2023-02-25,48,We Found Love,Rihanna Featuring Calvin Harris,0,1,42,Positive,"{'joy': 6, 'trust': 1, 'fear': 6, 'sadness': 5, 'anticipation': 5, 'anger': 1, 'disgust': 1, 'surprise': 2}"
2023-03-11,1,Die For You,The Weeknd & Ariana Grande,6,1,31,Positive,"{'joy': 17, 'trust': 7, 'anger': 8, 'disgust': 8, 'fear': 28, 'sadness': 29, 'anticipation': 7}"
2023-03-11,7,TQG,Karol G x Shakira,0,7,1,Positive,"{'anticipation': 2, 'joy': 1, 'trust': 2}"
2023-03-18,7,Thought You Should Know,Morgan Wallen,13,7,30,Positive,"{'anger': 8, 'disgust': 11, 'fear': 2, 'sadness': 2, 'anticipation': 31, 'joy': 8, 'trust': 7, 'surprise': 3}"
2023-03-18,9,Thinkin' Bout Me,Morgan Wallen,0,9,1,Negative,"{'anger': 9, 'disgust': 7, 'fear': 9, 'sadness': 8, 'anticipation': 4, 'joy': 4, 'trust': 3}"
2023-03-18,10,One Thing At A Time,Morgan Wallen,51,10,14,Negative,"{'anticipation': 9, 'anger': 10, 'fear': 10, 'sadness': 9, 'surprise': 2, 'trust': 2, 'joy': 6, 'disgust': 10}"
2023-03-25,8,Calm Down,Rema & Selena Gomez,19,8,28,Positive,"{'anger': 2, 'anticipation': 7, 'fear': 6, 'surprise': 6, 'joy': 17, 'trust': 8, 'disgust': 2, 'sadness': 6}"
