chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart,Sentiment,Emotions
2022-01-01,1,All I Want For Christmas Is You,Mariah Carey,1,1,50,Positive,"{'anger': 2, 'anticipation': 6, 'disgust': 2, 'joy': 23, 'surprise': 4, 'trust': 7, 'fear': 1, 'sadness': 1}"
2022-01-01,2,Rockin' Around The Christmas Tree,Brenda Lee,2,2,44,Positive,"{'anger': 7, 'anticipation': 11, 'disgust': 7, 'joy': 11, 'surprise': 7, 'trust': 9, 'fear': 2, 'sadness': 2}"
2022-01-01,3,Jingle Bell Rock,Bobby Helms,4,3,41,Positive,"{'anticipation': 14, 'joy': 1, 'trust': 2}"
2022-01-01,4,A Holly Jolly Christmas,Burl Ives,5,4,25,Positive,"{'anticipation': 5, 'joy': 3, 'surprise': 3, 'trust': 1, 'fear': 2, 'sadness': 2}"
2022-01-01,5,Easy On Me,Adele,3,1,11,Positive,"{'anticipation': 10, 'joy': 11, 'surprise': 6, 'trust': 3, 'fear': 3, 'anger': 1}"
2022-01-01,6,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,26,Positive,"{'joy': 13, 'surprise': 11, 'trust': 12, 'anticipation': 17, 'fear': 2}"
2022-01-01,7,Last Christmas,Wham!,9,7,24,Positive,"{'anticipation': 9, 'joy': 34, 'trust': 14, 'surprise': 3, 'fear': 6, 'disgust': 3, 'sadness': 1}"
2022-01-01,8,Feliz Navidad,Jose Feliciano,11,6,19,Negative,"{'fear': 18, 'sadness': 24, 'joy': 18}"
2022-01-01,10,Sleigh Ride,The Ronettes,13,10,15,Positive,"{'anticipation': 6, 'joy': 6, 'sadness': 7, 'surprise': 4, 'trust': 6}"
2022-01-01,12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,17,8,18,Positive,"{'anger': 8, 'fear': 8, 'sadness': 5, 'anticipation': 7, 'joy': 7, 'trust': 4, 'disgust': 6, 'surprise': 4}"
2022-01-01,15,Heat Waves,Glass Animals,8,7,49,Negative,"{'joy': 3, 'anger': 3, 'disgust': 1, 'fear': 4, 'sadness': 12, 'surprise': 2, 'anticipation': 4, 'trust': 1}"
2022-01-01,22,Industry Baby,Lil Nas X & Jack Harlow,10,1,22,Negative,"{'joy': 7, 'trust': 7, 'sadness': 12, 'anticipation': 10, 'fear': 7, 'surprise': 4, 'anger': 6, 'disgust': 5}"
2022-01-01,23,Shivers,Ed Sheeran,12,5,15,Positive,"{'surprise': 5, 'trust': 10, 'fear': 23, 'sadness': 20, 'anticipation': 6, 'joy': 25, 'anger': 5}"
2022-01-01,24,Need To Know,Doja Cat,14,8,28,Positive,"{'fear': 12, 'sadness': 10, 'joy': 18, 'trust': 7, 'anticipation': 11, 'disgust': 3, 'surprise': 3, 'anger': 6}"
2022-01-01,25,Run Rudolph Run,Chuck Berry,32,10,13,Positive,"{'anticipation': 8, 'disgust': 1, 'joy': 6, 'sadness': 2, 'surprise': 1, 'anger': 1, 'fear': 1, 'trust': 1}"
2022-01-01,31,Bad Habits,Ed Sheeran,26,2,26,Negative,"{'anger': 21, 'disgust': 21, 'fear': 27, 'sadness': 25, 'anticipation': 11, 'joy': 9, 'surprise': 9, 'trust': 8}"
2022-01-01,32,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),30,5,7,Negative,"{'anticipation': 7, 'joy': 9, 'trust': 4, 'surprise': 3, 'anger': 2, 'disgust': 2, 'fear': 4, 'sadness': 4}"
2022-01-01,38,Good 4 U,Olivia Rodrigo,33,1,32,Positive,"{'anticipation': 21, 'joy': 26, 'surprise': 23, 'trust': 22, 'fear': 6, 'sadness': 8, 'anger': 4, 'disgust': 1}"
2022-01-01,42,I Hate U,SZA,31,7,3,Negative,"{'anger': 11, 'disgust': 10, 'fear': 9, 'sadness': 17, 'anticipation': 1, 'joy': 8, 'surprise': 1, 'trust': 3}"
2022-01-01,45,Fancy Like,Walker Hayes,35,3,27,Positive,"{'trust': 10, 'anticipation': 22, 'joy': 22, 'surprise': 6, 'fear': 1, 'sadness': 2, 'disgust': 2}"
2022-01-01,49,Thats What I Want,Lil Nas X,45,10,14,Positive,"{'disgust': 4, 'joy': 15, 'trust': 3, 'anticipation': 2, 'anger': 5, 'fear': 6, 'sadness': 10, 'surprise': 1}"
2022-01-01,50,One Right Now,Post Malone & The Weeknd,38,6,7,Positive,"{'joy': 8, 'fear': 3, 'sadness': 4, 'anticipation': 2, 'surprise': 2, 'trust': 3, 'disgust': 1}"
2022-01-01,53,Knife Talk,Drake Featuring 21 Savage & Project Pat,48,4,16,Negative,"{'anger': 9, 'fear': 9, 'disgust': 1, 'sadness': 2, 'trust': 2, 'joy': 2, 'anticipation': 1, 'surprise': 1}"
2022-01-01,57,Oh My God,Adele,51,5,5,Negative,"{'anticipation': 15, 'fear': 12, 'joy': 17, 'trust': 34, 'surprise': 3, 'sadness': 9, 'disgust': 32, 'anger': 13}"
2022-01-01,58,Way 2 Sexy,Drake Featuring Future & Young Thug,46,1,16,Positive,"{'anticipation': 37, 'joy': 54, 'surprise': 32, 'trust': 27, 'anger': 28, 'disgust': 12, 'fear': 19, 'sadness': 35}"
2022-01-01,65,Girls Want Girls,Drake Featuring Lil Baby,60,2,16,Negative,"{'anger': 10, 'disgust': 10, 'sadness': 11, 'anticipation': 6, 'surprise': 3, 'fear': 6, 'joy': 6, 'trust': 4}"
2022-01-01,68,All Too Well (Taylor's Version),Taylor Swift,59,1,6,Positive,"{'anticipation': 7, 'joy': 5, 'surprise': 3, 'trust': 8, 'sadness': 8, 'anger': 4, 'disgust': 3, 'fear': 3}"
2022-01-01,84,My Universe,Coldplay x BTS,74,1,13,Positive,"{'anger': 2, 'disgust': 1, 'sadness': 2, 'anticipation': 2, 'fear': 2, 'joy': 3, 'trust': 1}"
2022-01-08,36,Essence,Wizkid Featuring Justin Bieber & Tems,0,9,25,Positive,"{'anticipation': 37, 'joy': 54, 'surprise': 32, 'trust': 27, 'anger': 28, 'disgust': 12, 'fear': 19, 'sadness': 35}"
2022-01-08,38,Kiss Me More,Doja Cat Featuring SZA,0,3,37,Positive,"{'joy': 22, 'trust': 7, 'anticipation': 10, 'surprise': 12, 'disgust': 13, 'anger': 4, 'fear': 6, 'sadness': 6}"
2022-01-15,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",50,5,2,Positive,"{'anticipation': 17, 'joy': 11, 'surprise': 4, 'trust': 16, 'fear': 6, 'anger': 2, 'sadness': 6, 'disgust': 1}"
2022-01-15,7,Cold Heart (PNAU Remix),Elton John & Dua Lipa,20,7,18,Negative,"{'disgust': 9, 'anger': 3, 'fear': 3, 'joy': 3, 'anticipation': 15}"
2022-01-15,10,Super Gremlin,Kodak Black,16,10,9,Negative,"{'anticipation': 11, 'joy': 11, 'trust': 10, 'sadness': 15, 'disgust': 16, 'anger': 17, 'fear': 17, 'surprise': 2}"
